case_id,condition_name,prototype_type,semantic_score,keyword_score,matched_keywords,score,calibration_score,low_signal_floor_applied
8,dissatisfaction,condition,0.329375,0.0,,0.214094,0.214094,False
8,policy_demand,condition,0.295822,0.0,,0.192284,0.192284,False
8,coproduction_request,condition,0.621525,0.3125,愿意; 参与; 听证会; 协助; 反馈,0.513366,0.513366,False
8,trust,condition,0.401715,0.0,,0.261115,0.261115,False
8,constructive_resolution,outcome,0.489126,0.055556,反馈,0.337376,0.337376,False
9,dissatisfaction,condition,0.260589,0.0,,0.169383,0.169383,False
9,policy_demand,condition,0.20338,0.0,,0.132197,0.132197,False
9,coproduction_request,condition,0.486086,0.0,,0.315956,0.315956,False
9,trust,condition,0.5,0.285714,满意; 很好; 放心; 耐心,0.425,0.425,False
9,constructive_resolution,outcome,0.533985,0.055556,满意,0.366534,0.366534,False
10,dissatisfaction,condition,0.300198,0.157895,投诉; 没人处理; 没有回应,0.250392,0.250392,False
10,policy_demand,condition,0.030147,0.052632,处理,0.038017,0.038017,False
10,coproduction_request,condition,0.068079,0.0,,0.044252,0.044252,False
10,trust,condition,0.042106,0.0,,0.027369,0.027369,False
10,constructive_resolution,outcome,0.07745,0.055556,处理,0.069787,0.069787,False
11,dissatisfaction,condition,0.122816,0.0,,0.07983,0.07983,False
11,policy_demand,condition,0.219257,0.105263,流程; 调整,0.179359,0.179359,False
11,coproduction_request,condition,0.235017,0.0,,0.152761,0.152761,False
11,trust,condition,0.106255,0.0,,0.069066,0.069066,False
11,constructive_resolution,outcome,0.305558,0.055556,调整,0.218057,0.218057,False
12,dissatisfaction,condition,0.281095,0.0,,0.182712,0.182712,False
12,policy_demand,condition,0.36401,0.0,,0.236607,0.236607,False
12,coproduction_request,condition,0.451507,0.25,愿意; 一起; 宣传; 反馈,0.38098,0.38098,False
12,trust,condition,0.313437,0.0,,0.203734,0.203734,False
12,constructive_resolution,outcome,0.380053,0.055556,反馈,0.266479,0.266479,False
13,dissatisfaction,condition,0.359252,0.052632,不信任,0.251935,0.251935,False
13,policy_demand,condition,0.340235,0.0,,0.221153,0.221153,False
13,coproduction_request,condition,0.102055,0.0,,0.066336,0.066336,False
13,trust,condition,0.07371,0.0,,0.047911,0.047911,False
13,constructive_resolution,outcome,0.228422,0.0,,0.148474,0.148474,False
14,dissatisfaction,condition,0.235354,0.0,,0.15298,0.15298,False
14,policy_demand,condition,0.489724,0.210526,请求; 说明; 公布; 方案,0.392005,0.392005,False
14,coproduction_request,condition,0.168564,0.0,,0.109567,0.109567,False
14,trust,condition,0.219705,0.0,,0.142808,0.142808,False
14,constructive_resolution,outcome,0.255144,0.111111,说明; 公布,0.204733,0.204733,False
15,dissatisfaction,condition,0.103811,0.0,,0.067477,0.067477,False
15,policy_demand,condition,0.142618,0.0,,0.092702,0.092702,False
15,coproduction_request,condition,0.086653,0.0,,0.056324,0.056324,False
15,trust,condition,0.111597,0.0,,0.072538,0.072538,False
15,constructive_resolution,outcome,0.153774,0.0,,0.099953,0.099953,False
16,dissatisfaction,condition,0.238965,0.0,,0.155327,0.155327,False
16,policy_demand,condition,0.397319,0.052632,说明,0.276679,0.276679,False
16,coproduction_request,condition,0.459471,0.0625,配合,0.320531,0.320531,False
16,trust,condition,0.445966,0.142857,感谢; 耐心,0.339878,0.339878,False
16,constructive_resolution,outcome,0.460483,0.222222,说明; 配合; 感谢; 登记,0.377092,0.377092,False
